region,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
East,Female,Bachelor,2530.705137,89451.0,63.0,0,Personal Auto,Four-Door Car,61.769564
Central,Male,High School or Below,10787.11572,44695.0,91.0,0,Personal Auto,Four-Door Car,147.954285
West Region,Female,High School or Below,11923.75365,24581.0,101.0,0,Personal Auto,Four-Door Car,484.8
Central,Male,Bachelor,5186.359717,0.0,73.0,1,Personal Auto,Four-Door Car,194.944319
Central,Female,Bachelor,10103.64886,72334.0,129.0,3,Corporate Auto,SUV,412.829624
North West,Male,High School or Below,6438.995346,19831.0,83.0,0,Personal Auto,Four-Door Car,398.4
West Region,Male,High School or Below,3909.636524,40361.0,98.0,0,Personal Auto,Four-Door Car,71.169255
West Region,Male,Bachelor,13211.01092,74656.0,111.0,0,Personal Auto,Four-Door Car,504.365927
North West,Male,Master,14616.36817,25358.0,126.0,0,Personal Auto,SUV,750.58561
West Region,Male,Bachelor,3732.345012,35461.0,95.0,1,Corporate Auto,Four-Door Car,9.214343
West Region,Male,Doctor,8750.643581,59047.0,76.0,3,Personal Auto,Four-Door Car,364.8
Central,Female,College,10662.63422,62409.0,89.0,0,Personal Auto,Four-Door Car,392.686432
West Region,Female,College,3861.486269,93272.0,95.0,0,Personal Auto,Four-Door Car,281.110788
West Region,Female,College,9807.829589,0.0,135.0,0,Personal Auto,Sports Car,970.456654
North West,Male,Bachelor,3252.828464,20166.0,83.0,0,Personal Auto,Two-Door Car,398.4
East,Female,High School or Below,2711.899826,0.0,74.0,0,Personal Auto,Four-Door Car,355.2
West Region,Male,Bachelor,2453.570794,29735.0,69.0,0,Personal Auto,Four-Door Car,331.2
West Region,Male,High School or Below,11228.28966,0.0,64.0,0,Corporate Auto,Four-Door Car,772.83851
West Region,Female,High School or Below,23020.89147,97460.0,114.0,0,Personal Auto,SUV,660.135987
Central,Male,College,2458.447909,57564.0,63.0,1,Personal Auto,Two-Door Car,302.4
Central,Female,Bachelor,11160.07706,33232.0,94.0,0,Special Auto,Four-Door Car,435.527845
Central,Female,College,13118.74322,11854.0,113.0,0,Personal Auto,Four-Door Car,807.721213
West Region,Female,College,6120.185345,23843.0,79.0,0,Personal Auto,Four-Door Car,344.693511
Central,Female,College,13881.03947,17961.0,181.0,0,Personal Auto,Sports Car,476.707749
West Region,Female,College,4787.472973,0.0,64.0,0,Personal Auto,Four-Door Car,360.110955
Central,Female,College,8177.048957,54695.0,103.0,0,Personal Auto,SUV,494.4
West Region,Male,College,3309.248219,85632.0,82.0,0,Personal Auto,Two-Door Car,7.2574
West Region,Female,Bachelor,14635.45158,0.0,139.0,0,Personal Auto,SUV,667.2
West Region,Female,High School or Below,5120.615661,0.0,76.0,4,Personal Auto,Four-Door Car,277.220384
North West,Female,High School or Below,19253.03441,39895.0,160.0,0,Personal Auto,SUV,765.591167
East,Female,Bachelor,6646.749298,95815.0,82.0,0,Personal Auto,Four-Door Car,393.6
West Region,Female,High School or Below,8742.472473,37224.0,74.0,0,Personal Auto,Four-Door Car,355.2
West Region,Male,Bachelor,8467.369513,0.0,122.0,0,Personal Auto,SUV,1100.088685
Central,Female,College,6992.531494,94652.0,86.0,0,Personal Auto,Four-Door Car,412.8
Central,Female,Bachelor,13037.03339,28582.0,112.0,0,Personal Auto,Sports Car,537.6
Central,Female,High School or Below,10883.78785,91123.0,138.0,3,Corporate Auto,SUV,103.462381
Central,Male,Bachelor,9114.276632,85942.0,116.0,2,Personal Auto,Four-Door Car,79.340118
Central,Female,High School or Below,30442.53824,64321.0,253.0,0,Personal Auto,Luxury Vehicle,422.438297
Central,Male,Doctor,5104.354719,77025.0,64.0,2,Personal Auto,Two-Door Car,380.917107
North West,Male,High School or Below,2174.111987,16997.0,65.0,3,Personal Auto,Two-Door Car,468.0
West Region,Male,Bachelor,9890.210998,52408.0,125.0,0,Personal Auto,Sports Car,179.125777
West Region,Male,Bachelor,8719.125849,0.0,116.0,1,Personal Auto,Four-Door Car,556.8
Central,Male,Bachelor,8516.751366,37573.0,112.0,3,Corporate Auto,SUV,537.6
Central,Female,High School or Below,11606.84868,45893.0,97.0,0,Personal Auto,Two-Door Car,465.6
West Region,Female,High School or Below,3731.504584,0.0,96.0,0,Corporate Auto,Four-Door Car,460.8
Central,Male,College,3303.090814,29385.0,88.0,2,Personal Auto,Two-Door Car,422.4
West Region,Male,College,8888.875454,21509.0,81.0,1,Personal Auto,Two-Door Car,413.492922
Central,Female,Bachelor,8173.50314,68144.0,70.0,4,Personal Auto,Four-Door Car,336.0
Central,Male,Bachelor,4923.950434,31093.0,63.0,0,Personal Auto,Four-Door Car,302.4
Central,Male,High School or Below,2823.501795,24350.0,73.0,3,Corporate Auto,Four-Door Car,350.4
East,Male,College,7824.372789,32823.0,100.0,0,Personal Auto,SUV,480.0
East,Male,College,8311.854644,44843.0,105.0,0,Personal Auto,SUV,391.419263
North West,Female,Master,5384.532684,59364.0,67.0,0,Corporate Auto,Four-Door Car,321.6
North West,Male,College,3978.665051,39101.0,99.0,0,Personal Auto,Four-Door Car,167.174678
West Region,Male,High School or Below,6237.507291,0.0,90.0,1,Personal Auto,Two-Door Car,432.0
East,Female,High School or Below,6969.880958,27604.0,92.0,1,Corporate Auto,Two-Door Car,441.6
West Region,Female,High School or Below,5024.029643,91603.0,64.0,5,Personal Auto,Four-Door Car,307.2
East,Female,Master,8414.080425,59828.0,104.0,0,Personal Auto,SUV,499.2
Central,Male,College,2801.562831,33247.0,72.0,0,Special Auto,Four-Door Car,284.956298
West Region,Male,College,5010.917847,45867.0,126.0,0,Personal Auto,Sports Car,604.8
West Region,Female,College,4997.780688,54827.0,64.0,0,Personal Auto,Four-Door Car,132.947215
West Region,Female,Bachelor,2236.085718,0.0,64.0,3,Corporate Auto,Two-Door Car,307.2
Central,Male,Bachelor,10934.73726,47170.0,139.0,0,Corporate Auto,Sports Car,667.2
West Region,Female,Bachelor,3289.132998,21947.0,83.0,0,Personal Auto,Four-Door Car,366.90936
North West,Female,College,14014.10119,39018.0,117.0,0,Personal Auto,SUV,561.6
Central,Male,Master,5604.330774,20252.0,71.0,0,Personal Auto,Four-Door Car,198.227061
North West,Male,Bachelor,2912.235077,0.0,88.0,0,Personal Auto,Four-Door Car,633.6
North West,Male,Master,5616.845326,48602.0,70.0,0,Corporate Auto,Two-Door Car,487.884823
West Region,Female,Bachelor,7504.685954,97849.0,62.0,0,Special Auto,Four-Door Car,183.117146
North West,Female,College,3746.751625,41479.0,94.0,1,Personal Auto,Two-Door Car,19.575683
North West,Female,Bachelor,2959.819985,69746.0,74.0,0,Personal Auto,Four-Door Car,225.032781
West Region,Male,Bachelor,7725.535708,96748.0,96.0,0,Personal Auto,Two-Door Car,460.8
North West,Male,Bachelor,13248.63735,25074.0,112.0,0,Personal Auto,Two-Door Car,537.6
Central,Male,Master,2717.781848,66463.0,68.0,0,Personal Auto,Two-Door Car,326.4
East,Male,High School or Below,2734.149158,34865.0,69.0,0,Corporate Auto,Four-Door Car,255.946801
West Region,Male,College,9199.388961,37399.0,116.0,0,Personal Auto,Four-Door Car,392.826082
West Region,Male,College,29049.71315,21070.0,195.0,0,Corporate Auto,Sports Car,1404.0
North West,Female,Bachelor,4956.620638,31562.0,66.0,4,Personal Auto,Four-Door Car,316.8
West Region,Female,Master,5574.959174,54684.0,71.0,2,Personal Auto,Four-Door Car,487.070965
North West,Male,High School or Below,9192.592887,37388.0,117.0,0,Corporate Auto,SUV,561.6
Central,Female,Bachelor,3878.770231,84981.0,96.0,0,Personal Auto,Four-Door Car,4.719043
Central,Male,Master,4419.116971,24046.0,116.0,0,Personal Auto,Two-Door Car,556.8
West Region,Male,High School or Below,4772.943848,20993.0,133.0,0,Personal Auto,SUV,638.4
North West,Male,College,9101.523916,48029.0,116.0,0,Personal Auto,SUV,556.8
Central,Male,Bachelor,7609.089616,16233.0,197.0,0,Personal Auto,Luxury Vehicle,1418.4
Central,Male,College,2668.662697,30718.0,67.0,1,Personal Auto,Two-Door Car,321.6
North West,Male,High School or Below,5141.976413,60277.0,65.0,0,Personal Auto,Four-Door Car,146.390518
West Region,Male,Bachelor,7451.49202,0.0,107.0,0,Personal Auto,SUV,770.4
Central,Male,Bachelor,2620.167098,31911.0,68.0,0,Personal Auto,Four-Door Car,245.893663
Central,Female,Bachelor,4909.844198,61402.0,62.0,0,Personal Auto,Two-Door Car,252.157829
West Region,Female,College,8023.075248,34335.0,101.0,0,Corporate Auto,Two-Door Car,484.8
Central,Male,College,20446.6023,71467.0,86.0,0,Personal Auto,Two-Door Car,324.879569
East,Male,College,4966.848441,0.0,74.0,0,Personal Auto,Four-Door Car,532.8
East,Male,High School or Below,3549.016697,36168.0,90.0,0,Personal Auto,Four-Door Car,432.0
North West,Female,College,5350.367001,58357.0,137.0,2,Personal Auto,Sports Car,708.220713
West Region,Male,College,8065.234637,29692.0,77.0,0,Personal Auto,Four-Door Car,449.352139
North West,Male,High School or Below,7892.824093,29215.0,67.0,0,Personal Auto,Four-Door Car,327.656191
North West,Female,High School or Below,4540.9925,0.0,61.0,0,Personal Auto,Two-Door Car,486.121464
East,Male,High School or Below,2852.527169,26841.0,74.0,1,Personal Auto,Four-Door Car,418.534381
Central,Female,Bachelor,10720.41744,34837.0,139.0,1,Personal Auto,SUV,667.2
Central,Female,Bachelor,4795.387295,33068.0,61.0,1,Personal Auto,Four-Door Car,213.038013
East,Female,College,5182.393447,44820.0,133.0,3,Personal Auto,Sports Car,336.13217
Central,Female,Bachelor,22620.74841,49564.0,193.0,0,Corporate Auto,Sports Car,286.370988
Central,Male,College,2320.750557,19581.0,61.0,0,Personal Auto,Four-Door Car,377.24342
North West,Male,High School or Below,7714.650119,0.0,74.0,0,Corporate Auto,Two-Door Car,532.8
North West,Male,Bachelor,7880.337212,23129.0,70.0,0,Personal Auto,Four-Door Car,491.65337
East,Male,Bachelor,9029.940704,0.0,138.0,0,Personal Auto,SUV,1376.958592
Central,Female,High School or Below,6965.423975,25411.0,86.0,0,Personal Auto,Four-Door Car,242.807725
Central,Female,High School or Below,15114.40241,28513.0,100.0,1,Personal Auto,SUV,480.0
North West,Male,High School or Below,22523.7063,69346.0,63.0,1,Special Auto,Two-Door Car,246.284609
North West,Female,High School or Below,10760.17612,74835.0,133.0,0,Corporate Auto,SUV,107.645982
North West,Female,Master,5808.932598,43282.0,72.0,0,Personal Auto,Two-Door Car,166.799814
Central,Female,Bachelor,30591.61257,11276.0,91.0,1,Corporate Auto,Four-Door Car,436.8
Central,Male,College,2220.187426,0.0,62.0,2,Personal Auto,Four-Door Car,311.506082
North West,Male,Bachelor,4914.035833,10037.0,71.0,0,Personal Auto,Four-Door Car,292.181494
North West,Female,Doctor,2395.57,21986.0,63.0,0,Personal Auto,Two-Door Car,333.696228
Central,Female,Doctor,5522.524223,85609.0,136.0,0,Personal Auto,SUV,652.8
North West,Male,College,15808.75757,86347.0,130.0,0,Personal Auto,Sports Car,593.779554
North West,Female,College,2827.328603,20368.0,72.0,0,Corporate Auto,Four-Door Car,345.6
West Region,Female,Master,5421.524497,25778.0,68.0,0,Corporate Auto,Two-Door Car,20.141289
Central,Female,High School or Below,2514.59196,43860.0,65.0,0,Corporate Auto,Four-Door Car,156.124914
North West,Male,College,5157.642282,93303.0,65.0,0,Corporate Auto,Four-Door Car,40.757983
North West,Male,High School or Below,4874.665223,67467.0,61.0,0,Personal Auto,Two-Door Car,365.879938
Central,Male,High School or Below,4198.02525,30598.0,106.0,0,Personal Auto,SUV,508.8
Central,Female,College,5380.898636,55350.0,67.0,0,Personal Auto,Four-Door Car,321.6
West Region,Female,High School or Below,13466.92071,11432.0,119.0,0,Corporate Auto,SUV,571.2
North West,Male,College,2424.424678,27093.0,61.0,0,Personal Auto,Four-Door Car,292.8
Central,Male,Bachelor,3823.853815,0.0,108.0,0,Personal Auto,SUV,777.6
North West,Female,High School or Below,13883.32934,0.0,197.0,0,Corporate Auto,Luxury Vehicle,1418.4
North West,Female,College,2438.533897,38961.0,62.0,0,Corporate Auto,Two-Door Car,297.6
North West,Female,Doctor,34090.03598,51840.0,94.0,0,Corporate Auto,Two-Door Car,33.747903
Central,Male,Bachelor,2840.302575,79181.0,72.0,0,Personal Auto,Four-Door Car,241.277426
North West,Male,Bachelor,24127.50402,14072.0,71.0,0,Special Auto,Four-Door Car,511.2
West Region,Male,College,7596.143777,56225.0,97.0,0,Personal Auto,Four-Door Car,465.6
East,Male,High School or Below,15096.27023,14909.0,199.0,0,Personal Auto,Luxury Vehicle,1238.077611
Central,Male,High School or Below,6005.214792,26876.0,76.0,0,Personal Auto,Four-Door Car,364.8
North West,Male,College,3455.23067,68401.0,88.0,0,Personal Auto,Four-Door Car,242.254164
Central,Female,College,5728.581037,29730.0,72.0,0,Personal Auto,Four-Door Car,463.21435
North West,Female,High School or Below,5163.228365,35577.0,130.0,0,Personal Auto,SUV,574.51239
West Region,Male,Master,2602.650842,41958.0,66.0,1,Corporate Auto,Four-Door Car,206.818326
North West,Female,Master,32643.07651,77915.0,115.0,0,Personal Auto,Four-Door Car,552.0
North West,Female,Bachelor,2789.74739,15514.0,74.0,0,Corporate Auto,Four-Door Car,355.2
Central,Female,College,11250.09857,29505.0,284.0,0,Personal Auto,Luxury Vehicle,1979.444237
West Region,Female,College,16510.96722,31356.0,68.0,0,Personal Auto,Two-Door Car,326.4
West Region,Female,College,7607.983712,31456.0,199.0,0,Personal Auto,Luxury Vehicle,436.695385
Central,Female,High School or Below,5603.73932,95284.0,69.0,0,Personal Auto,Four-Door Car,327.647322
Central,Male,High School or Below,6674.44805,0.0,98.0,0,Personal Auto,Two-Door Car,931.648937
East,Female,Bachelor,4049.415027,62864.0,104.0,0,Personal Auto,Two-Door Car,171.213743
North West,Male,College,4958.016206,22842.0,65.0,0,Personal Auto,Four-Door Car,468.0
West Region,Female,Bachelor,7850.128057,67186.0,66.0,0,Personal Auto,Four-Door Car,184.936711
Central,Male,High School or Below,6382.583452,0.0,87.0,0,Personal Auto,Four-Door Car,417.6
North West,Female,College,5737.499595,68946.0,71.0,0,Personal Auto,Four-Door Car,309.627788
North West,Female,Bachelor,7688.023506,56680.0,100.0,2,Personal Auto,SUV,480.0
Central,Female,High School or Below,4873.436612,18866.0,126.0,0,Personal Auto,SUV,604.8
West Region,Female,High School or Below,2824.681217,82875.0,70.0,0,Personal Auto,Four-Door Car,455.337179
Central,Female,College,3722.368016,0.0,109.0,2,Personal Auto,SUV,523.2
West Region,Female,Bachelor,5535.963648,84863.0,138.0,0,Corporate Auto,SUV,691.697458
West Region,Female,College,4727.8341,0.0,127.0,0,Personal Auto,SUV,609.6
West Region,Male,Bachelor,2378.667328,54753.0,61.0,0,Personal Auto,Four-Door Car,292.8
West Region,Female,College,9337.895228,76381.0,116.0,0,Special Auto,Two-Door Car,556.8
West Region,Male,Bachelor,6189.994337,59523.0,78.0,1,Personal Auto,Four-Door Car,343.789779
Central,Female,Bachelor,5638.262608,56017.0,71.0,0,Corporate Auto,Four-Door Car,51.995897
Central,Male,Master,5264.361755,14306.0,74.0,3,Corporate Auto,Four-Door Car,355.061143
Central,Female,Bachelor,4035.68383,21359.0,101.0,0,Personal Auto,Sports Car,484.8
Central,Female,Bachelor,4117.4697,86101.0,102.0,0,Personal Auto,SUV,344.736945
East,Male,Bachelor,8382.478392,25998.0,71.0,0,Personal Auto,Four-Door Car,791.878042
West Region,Female,Master,2435.147986,64341.0,61.0,0,Personal Auto,Four-Door Car,79.934072
West Region,Female,High School or Below,6599.081932,36060.0,165.0,0,Special Auto,Sports Car,774.558233
North West,Male,High School or Below,5353.932122,61894.0,67.0,0,Personal Auto,Four-Door Car,266.996814
North West,Male,High School or Below,6747.524275,26721.0,65.0,3,Personal Auto,Four-Door Car,312.0
Central,Female,Bachelor,7412.135256,59940.0,94.0,0,Personal Auto,Four-Door Car,303.098944
East,Male,Master,5512.342258,45971.0,138.0,0,Special Auto,SUV,139.826393
North West,Male,Bachelor,4015.34005,80055.0,100.0,0,Corporate Auto,SUV,121.945071
Central,Male,College,7772.473464,58345.0,98.0,0,Personal Auto,Four-Door Car,346.971517
North West,Female,College,4638.945365,0.0,71.0,3,Personal Auto,Two-Door Car,143.276484
North West,Male,Bachelor,10507.50144,76549.0,132.0,0,Personal Auto,SUV,616.349424
Central,Female,Master,17556.99121,36212.0,73.0,0,Personal Auto,Two-Door Car,119.033795
West Region,Female,Bachelor,9103.700091,0.0,131.0,0,Personal Auto,Sports Car,628.8
West Region,Male,High School or Below,13110.54899,73597.0,114.0,5,Personal Auto,SUV,485.183645
West Region,Female,High School or Below,8006.219948,63762.0,99.0,0,Personal Auto,Four-Door Car,108.161276
West Region,Male,Bachelor,6807.271588,32787.0,86.0,0,Personal Auto,Two-Door Car,568.58486
West Region,Female,Bachelor,2627.610202,94962.0,67.0,4,Personal Auto,Two-Door Car,321.6
North West,Female,High School or Below,9095.744565,0.0,256.0,0,Personal Auto,Luxury Vehicle,1943.772393
West Region,Female,College,5015.643575,73809.0,125.0,0,Special Auto,SUV,537.315879
North West,Female,Bachelor,4726.869327,13037.0,124.0,0,Personal Auto,SUV,839.348464
West Region,Male,High School or Below,3059.182181,0.0,88.0,0,Personal Auto,Four-Door Car,989.200247
North West,Female,College,4122.569957,75272.0,103.0,0,Personal Auto,SUV,71.647924
Central,Female,Master,2620.903729,39278.0,66.0,0,Personal Auto,Four-Door Car,65.590217
North West,Male,Bachelor,4938.893241,36913.0,62.0,0,Personal Auto,Four-Door Car,90.569696
West Region,Male,Bachelor,4691.043597,0.0,74.0,1,Personal Auto,Four-Door Car,407.218947
West Region,Male,College,6005.847375,13528.0,86.0,0,Personal Auto,Four-Door Car,412.8
West Region,Male,Bachelor,4941.650159,0.0,137.0,0,Personal Auto,SUV,986.4
East,Female,Bachelor,2254.402024,0.0,65.0,1,Personal Auto,Four-Door Car,768.797656
Central,Female,High School or Below,2554.032052,0.0,72.0,0,Corporate Auto,Four-Door Car,405.804184
Central,Male,Doctor,8123.955566,12617.0,108.0,0,Personal Auto,SUV,648.925597
North West,Female,High School or Below,19079.09518,42754.0,65.0,4,Personal Auto,Two-Door Car,279.715067
North West,Male,College,10461.58298,0.0,155.0,0,Corporate Auto,Sports Car,1116.0
West Region,Female,High School or Below,4669.22664,76157.0,116.0,0,Personal Auto,Two-Door Car,556.8
North West,Female,Bachelor,4903.810606,0.0,66.0,0,Personal Auto,Four-Door Car,469.6093
North West,Male,High School or Below,83325.38119,58958.0,231.0,0,Personal Auto,Luxury Vehicle,1108.8
North West,Female,Bachelor,8009.028202,0.0,107.0,0,Personal Auto,SUV,740.963933
North West,Female,Bachelor,23895.6779,0.0,98.0,0,Personal Auto,Four-Door Car,705.6
North West,Female,High School or Below,7732.385103,34430.0,65.0,0,Personal Auto,Two-Door Car,184.958966
North West,Male,High School or Below,9416.28441,13411.0,127.0,0,Personal Auto,SUV,609.6
West Region,Male,Bachelor,5923.518828,73758.0,74.0,0,Personal Auto,Four-Door Car,301.562622
West Region,Female,High School or Below,3833.066768,0.0,116.0,2,Personal Auto,Sports Car,1397.954723
North West,Male,Bachelor,28432.00202,17130.0,198.0,0,Special Auto,Luxury Vehicle,950.4
East,Female,College,5553.756551,0.0,92.0,3,Personal Auto,Four-Door Car,662.4
North West,Female,High School or Below,10036.53634,0.0,134.0,1,Personal Auto,SUV,1353.28906
Central,Male,Bachelor,6575.53817,10517.0,92.0,0,Personal Auto,Four-Door Car,441.540848
West Region,Male,College,4362.931238,58842.0,110.0,0,Personal Auto,Four-Door Car,528.0
West Region,Male,College,7873.708219,22355.0,71.0,3,Personal Auto,Four-Door Car,340.8
East,Female,High School or Below,13021.0853,0.0,223.0,5,Personal Auto,Luxury Vehicle,1605.6
Central,Female,Bachelor,4492.23348,21137.0,61.0,1,Personal Auto,Four-Door Car,292.8
North West,Female,Bachelor,6650.456653,0.0,99.0,2,Personal Auto,Four-Door Car,712.8
West Region,Male,High School or Below,11093.71591,78255.0,95.0,0,Personal Auto,Four-Door Car,456.0
Central,Female,Bachelor,5107.163002,35625.0,65.0,1,Special Auto,Four-Door Car,288.572108
West Region,Female,College,7334.328083,87957.0,61.0,0,Personal Auto,Four-Door Car,308.321335
North West,Female,College,4996.564694,25915.0,64.0,0,Corporate Auto,Two-Door Car,317.979988
West Region,Male,College,8658.863813,62464.0,109.0,0,Corporate Auto,Sports Car,400.181882
West Region,Male,High School or Below,9657.579498,0.0,131.0,0,Corporate Auto,SUV,628.8
West Region,Male,High School or Below,6176.700392,49529.0,78.0,0,Personal Auto,Two-Door Car,234.723464
West Region,Female,Bachelor,2867.312197,23376.0,78.0,0,Personal Auto,Four-Door Car,374.4
West Region,Male,College,2821.448707,0.0,81.0,0,Personal Auto,Four-Door Car,583.2
Central,Male,College,2843.557702,67952.0,71.0,0,Personal Auto,Two-Door Car,167.405624
West Region,Male,College,11790.49617,25251.0,66.0,0,Corporate Auto,Four-Door Car,316.8
Central,Female,High School or Below,7785.666532,20497.0,65.0,0,Personal Auto,Four-Door Car,425.358596
West Region,Male,High School or Below,12315.09489,68420.0,104.0,1,Personal Auto,Four-Door Car,499.2
Central,Female,College,4810.97858,24711.0,122.0,0,Personal Auto,Sports Car,259.998169
West Region,Female,College,27279.33647,76530.0,119.0,4,Personal Auto,SUV,254.149197
West Region,Male,High School or Below,3980.421464,98333.0,99.0,1,Personal Auto,Four-Door Car,459.048775
West Region,Female,Bachelor,14635.45158,0.0,139.0,0,Personal Auto,SUV,667.2
North West,Female,College,3761.792015,0.0,106.0,1,Personal Auto,Four-Door Car,1116.943654
Central,Male,High School or Below,5619.689084,0.0,153.0,0,Personal Auto,SUV,1027.000029
Central,Male,Bachelor,5304.541694,0.0,74.0,0,Personal Auto,Four-Door Car,532.8
North West,Male,Bachelor,3207.468733,24695.0,82.0,0,Personal Auto,Four-Door Car,393.6
West Region,Male,Bachelor,8697.787865,26287.0,111.0,0,Personal Auto,Two-Door Car,279.378884
West Region,Male,College,8717.049833,83846.0,74.0,3,Personal Auto,Four-Door Car,355.2
East,Female,High School or Below,8029.715047,76081.0,68.0,0,Personal Auto,Four-Door Car,384.210821
North West,Male,College,4763.327142,14957.0,66.0,0,Corporate Auto,Four-Door Car,316.8
East,Male,High School or Below,23055.57229,41727.0,117.0,1,Personal Auto,Four-Door Car,82.25632
Central,Female,College,5383.670919,89092.0,68.0,2,Personal Auto,Two-Door Car,91.8198
East,Female,College,8409.668976,53986.0,70.0,1,Corporate Auto,Four-Door Car,127.886591
North West,Female,Bachelor,4257.477861,49853.0,109.0,0,Personal Auto,Four-Door Car,679.534284
North West,Male,High School or Below,14708.99565,36670.0,189.0,0,Corporate Auto,Luxury Vehicle,907.2
Central,Male,Bachelor,2593.818427,43626.0,67.0,0,Personal Auto,Two-Door Car,321.6
East,Female,High School or Below,2466.581354,0.0,70.0,0,Special Auto,Four-Door Car,504.0
West Region,Female,College,7933.820656,76505.0,65.0,0,Personal Auto,Four-Door Car,144.051716
West Region,Female,College,36860.72688,66216.0,103.0,0,Personal Auto,Sports Car,96.723812
North West,Female,College,7412.029748,52497.0,63.0,0,Corporate Auto,Two-Door Car,302.4
Central,Female,High School or Below,34611.37896,20090.0,109.0,0,Personal Auto,Sports Car,523.2
North West,Female,High School or Below,18726.15325,0.0,185.0,2,Personal Auto,SUV,1543.932434
West Region,Female,Bachelor,7249.065093,37751.0,93.0,0,Corporate Auto,Four-Door Car,56.692777
North West,Female,College,8193.091589,54840.0,72.0,3,Corporate Auto,Four-Door Car,468.728516
North West,Female,College,8692.282356,31986.0,111.0,0,Personal Auto,Four-Door Car,532.8
Central,Male,College,9799.175061,22166.0,126.0,0,Personal Auto,SUV,604.8
West Region,Male,Bachelor,14084.48944,0.0,208.0,0,Corporate Auto,Luxury Vehicle,2270.508697
West Region,Male,High School or Below,13104.14911,0.0,130.0,0,Personal Auto,Sports Car,1430.548077
North West,Female,Master,2628.657528,83838.0,65.0,0,Personal Auto,Two-Door Car,281.405931
North West,Female,Master,5245.683756,46061.0,65.0,0,Personal Auto,Two-Door Car,21.612658
North West,Male,College,8092.87696,50825.0,102.0,0,Personal Auto,SUV,369.614729
Central,Female,College,2719.506996,14030.0,72.0,0,Corporate Auto,Two-Door Car,345.6
East,Female,High School or Below,5445.373289,20282.0,79.0,3,Personal Auto,Two-Door Car,507.549315
West Region,Male,Bachelor,4514.247473,50146.0,116.0,1,Personal Auto,SUV,759.291202
East,Male,High School or Below,22029.1505,0.0,121.0,0,Personal Auto,SUV,580.8
West Region,Female,Bachelor,5408.892351,20472.0,139.0,0,Corporate Auto,SUV,667.2
North West,Female,Master,3768.371028,85751.0,93.0,0,Corporate Auto,Four-Door Car,391.210704
West Region,Female,High School or Below,27934.62373,76912.0,116.0,2,Corporate Auto,Sports Car,169.226996
Central,Male,Master,3887.324208,96335.0,97.0,0,Personal Auto,Four-Door Car,161.388136
East,Female,Bachelor,7475.784971,29633.0,196.0,0,Corporate Auto,Luxury Vehicle,534.653787
West Region,Male,Master,22758.91192,80540.0,63.0,0,Personal Auto,Four-Door Car,65.845112
Central,Female,High School or Below,5124.79641,14465.0,135.0,1,Corporate Auto,Sports Car,944.506601
East,Female,Bachelor,4900.336708,0.0,66.0,0,Personal Auto,Four-Door Car,316.8
North West,Female,Master,5278.6471,29899.0,66.0,0,Personal Auto,Four-Door Car,419.302975
East,Male,College,4821.986443,0.0,136.0,0,Personal Auto,SUV,652.8
Central,Male,Bachelor,8044.872393,71391.0,67.0,0,Personal Auto,Four-Door Car,284.000172
Central,Male,High School or Below,12157.32992,57449.0,103.0,0,Personal Auto,Four-Door Car,494.4
West Region,Male,High School or Below,18591.54967,14209.0,62.0,0,Personal Auto,Four-Door Car,297.6
North West,Male,High School or Below,4873.350518,47824.0,129.0,3,Personal Auto,SUV,546.046853
Central,Female,Doctor,5338.525632,48696.0,66.0,0,Corporate Auto,Four-Door Car,48.762193
East,Female,Bachelor,2878.766728,79189.0,71.0,0,Personal Auto,Two-Door Car,56.092247
West Region,Female,High School or Below,8473.46358,0.0,116.0,2,Special Auto,Sports Car,1148.461246
Central,Female,Bachelor,3440.361969,23870.0,91.0,0,Personal Auto,Two-Door Car,500.577875
West Region,Male,College,17497.52201,0.0,73.0,0,Personal Auto,Two-Door Car,350.4
West Region,Female,Bachelor,2544.337548,41059.0,64.0,0,Corporate Auto,Four-Door Car,151.670029
North West,Male,High School or Below,3336.219942,19447.0,89.0,0,Corporate Auto,Four-Door Car,640.8
East,Male,Bachelor,5206.108215,94392.0,65.0,1,Personal Auto,Four-Door Car,156.18031
Central,Male,College,43290.49543,23203.0,132.0,0,Personal Auto,SUV,1158.79311
East,Male,College,4817.992644,38157.0,61.0,0,Personal Auto,Two-Door Car,81.53233
North West,Male,College,13727.79972,0.0,126.0,0,Personal Auto,SUV,604.8
North West,Male,High School or Below,4996.545123,99761.0,63.0,0,Corporate Auto,Two-Door Car,452.246664
North West,Female,College,7960.007541,98350.0,101.0,3,Corporate Auto,SUV,289.181979
North West,Female,High School or Below,7367.653764,25318.0,63.0,2,Personal Auto,Four-Door Car,302.4
Central,Female,Bachelor,5632.613078,51721.0,139.0,0,Personal Auto,SUV,625.282599
Central,Female,Bachelor,3884.8552,0.0,114.0,0,Personal Auto,Sports Car,851.031598
West Region,Male,Bachelor,4518.024385,0.0,78.0,3,Personal Auto,Four-Door Car,374.4
West Region,Male,College,2565.124294,68321.0,66.0,0,Personal Auto,Four-Door Car,198.263056
Central,Male,Bachelor,15487.44072,69161.0,129.0,0,Personal Auto,Sports Car,441.138769
North West,Female,Bachelor,6395.351807,72667.0,80.0,0,Personal Auto,Four-Door Car,383.228397
